spain 4.5
brazil 4.75
argentina 7
england 8
holland 10
germany 16
france 22
portugal 33
ivory-coast 60
serbia 66
mexico 80
chile 80
usa 100
paraguay 120
uruguay 120
cameroon 150
south-africa 185
ghana 185
denmark 185
australia 200
nigeria 200
south-korea 300
greece 300
switzerland 350
slovakia 550
slovenia 600
algeria 800
japan 850
honduras 2500
north-korea 2500
new-zealand 3000
